Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","0805",99.060000,-104.775000,-90.000000,top
"C2","0.1uF","0805",79.375000,-104.775000,-90.000000,top
"C3","10uF","CASE-A_3216",89.535000,-111.760000,0.000000,top
"D1","LED","0805",111.125000,-92.710000,90.000000,top
"D2","LED","0805",104.775000,-92.710000,90.000000,top
"D3","LED","0805",98.425000,-92.710000,90.000000,top
"D4","LED","0805",92.075000,-92.710000,90.000000,top
"D5","LED","0805",85.725000,-92.710000,90.000000,top
"D6","LED","0805",79.375000,-92.710000,90.000000,top
"D7","LED","0805",95.250000,-108.585000,0.000000,top
"D8","LED","0805",95.250000,-102.235000,0.000000,top
"D9","LED","0805",95.250000,-95.885000,0.000000,top
"D10","LED","0805",95.250000,-89.535000,0.000000,top
"D11","LED","0805",95.250000,-83.185000,0.000000,top
"D12","LED","0805",95.250000,-76.835000,0.000000,top
"R1","2.2K","0805",79.375000,-98.425000,90.000000,top
"R2","2.2K","0805",99.060000,-98.425000,90.000000,top
"R3","4.7K","0805",79.375000,-109.855000,90.000000,top
"U1","74138","SOP-16",106.045000,-104.775000,0.000000,top
"U2","74138","SOP-16",86.360000,-104.775000,0.000000,top
